reference,direction,angle_deg,rmse_d,jod_rmse,psnr_d,jod_psnr,ssim_d,jod_ssim,ssim,ms_ssim_d,jod_ms_ssim,iw_ssim_d,jod_iw_ssim,vif_d,jod_vif,fsim_d,jod_fsim,srsim_d,jod_srsim,gmsd_d,jod_gmsd,ms_gmsd_d,jod_ms_gmsd,vsi_d,jod_vsi,mdsi_d,jod_mdsi,haarpsi_d,jod_haarpsi,dss_d,jod_dss,lpips_d,jod_lpips,dists_d,jod_dists,pieapp_d,jod_pieapp
I13,counter_clockwise,6.0,41.71236210945924,3.195764995610353,0.06359095537136034,3.11885418903937,0.8798373341560364,3.0783490953088126,0.12016266584396362,0.5944533944129944,2.678234812006446,0.7452524900436401,2.576447944794542,0.9818477034568787,2.823406643901112,0.32304757833480835,2.8363132866954857,0.18369603157043457,2.6419503591627063,0.21220287680625916,2.700678180761648,0.22195452451705933,2.760491396512836,0.11317914724349976,2.731150969432747,0.4613105356693268,2.7359492216299492,0.5762002468109131,3.2018354054609937,0.5891414880752563,2.6003130753026653,0.3663237988948822,1.778592671477383,0.10050177574157715,1.030518049527909,0.5235841274261475,1.012452697501904
I13,counter_clockwise,6.2,41.9182492229807,3.2008009015207444,0.06376436684627029,3.122838016323604,0.87999427318573,3.078480729817036,0.12000572681427002,0.5994207859039307,2.6783280001526926,0.7523038387298584,2.576447947700782,0.9824450016021729,2.8241989724717524,0.32317739725112915,2.836329374190427,0.18600839376449585,2.64199005096134,0.21269531548023224,2.7012393901960734,0.22276538610458374,2.7612723529209537,0.11358880996704102,2.7312939776415988,0.46173095703125,2.737196263840974,0.5779157280921936,3.205119874340138,0.5949567556381226,2.6026237826404213,0.36842048168182373,1.7903964626893896,0.10380828380584717,1.072222123114418,0.5373019576072693,1.041483254483425
I13,counter_clockwise,6.4,42.15662733945513,3.206549189268377,0.06396526105390274,3.127369897708134,0.8810467720031738,3.0793617003714573,0.11895322799682617,0.6043790578842163,2.678414855650203,0.7588277459144592,2.57644794995878,0.9830048680305481,2.824938383453923,0.32466405630111694,2.836510850342165,0.19009214639663696,2.6420502084664577,0.21308326721191406,2.701677460745952,0.22358271479606628,2.7620444654372935,0.11460667848587036,2.7316362047722578,0.4620833098888397,2.7382359260203413,0.5787612199783325,3.206731408506034,0.6019288301467896,2.605286433655465,0.3715515732765198,1.8079575825576428,0.10463285446166992,1.0826989383911751,0.5707703232765198,1.112204254392982
I13,counter_clockwise,6.6,42.35017842837311,3.2111523217853213,0.06412847614141026,3.1309869555333854,0.8821731805801392,3.080301024250824,0.11782681941986084,0.6095466613769531,2.6784992662590907,0.7657791972160339,2.5764479519825425,0.983557403087616,2.825665027137248,0.32582950592041016,2.836649634499963,0.19029903411865234,2.6420529525423717,0.21326430141925812,2.701880666900546,0.2243310511112213,2.7627383745372702,0.11524158716201782,2.731840550678953,0.462392657995224,2.7391445966023467,0.5799428820610046,3.2089757072111524,0.6061385869979858,2.6068392428062452,0.3751659691333771,1.8281272117229068,0.10774970054626465,1.1225408472193026,0.6125776171684265,1.199979654923622
I13,counter_clockwise,6.8,42.542538585688305,3.215670826516331,0.06429076424191661,3.134526703836667,0.8826377987861633,3.0806874196441374,0.11736220121383667,0.6147826910018921,2.678578866062982,0.7735259532928467,2.576447953850294,0.9841440916061401,2.826433244238774,0.3264612555503845,2.836723611421803,0.18851196765899658,2.6420283228105745,0.21407166123390198,2.702777578581205,0.22525909543037415,2.7635819540200544,0.11588305234909058,2.7320401708971076,0.46314558386802673,2.7413402840489067,0.5813342928886414,3.211606483902667,0.610161304473877,2.608285630416276,0.3770231604576111,1.8384469666858034,0.11151546239852905,1.1710984928326962,0.6558502316474915,1.2896324734998457
I13,counter_clockwise,7.0,42.65434691267556,3.2182716399732927,0.06438513186421022,3.136559291360602,0.8818727731704712,3.0800508656554175,0.11812722682952881,0.6181686520576477,2.6786273590378666,0.778935968875885,2.576447954950841,0.984649121761322,2.8270917897827843,0.32724934816360474,2.836814680580119,0.18777424097061157,2.6420175207330203,0.21422351896762848,2.702944590713931,0.2255275845527649,2.763822555846448,0.11648863554000854,2.732222524904955,0.463640421628952,2.7427711037161315,0.5830869674682617,3.2149020936896697,0.612155020236969,2.608989207343484,0.38099777698516846,1.8604284683071477,0.1120336651802063,1.1778093277776263,0.6424426436424255,1.2620190902414556
I13,counter_clockwise,7.2,42.75164071963061,3.2205196657663917,0.06446727362545107,3.1383133039040296,0.8825595378875732,3.0806223777656925,0.11744046211242676,0.6226767301559448,2.6786885015815702,0.7851664423942566,2.5764479560424913,0.9851496815681458,2.8277420068377626,0.3281991481781006,2.8369226695679117,0.18882018327713013,2.6420327233837497,0.21512743830680847,2.703927786365321,0.22631388902664185,2.764518415464587,0.11714696884155273,2.7324142635870885,0.4634850025177002,2.742322751011242,0.5839775800704956,3.216568992481257,0.6133356094360352,2.6094017485747827,0.3837646245956421,1.8756441558464176,0.10592108964920044,1.0991222293956908,0.5959612131118774,1.1651990828070855
I13,counter_clockwise,7.4,42.851953597994964,3.222822767252233,0.06455198566846632,3.1401074545992462,0.8845739364624023,3.0822909839368657,0.11542606353759766,0.6277766823768616,2.678753233917308,0.7918718457221985,2.576447957037603,0.9856507182121277,2.828390359761981,0.3304339647293091,2.837169329635799,0.19160926342010498,2.6420697101925725,0.2153957337141037,2.7042160430285187,0.22638829052448273,2.764583587438321,0.11819285154342651,2.732705505998638,0.46389272809028625,2.7434969335867803,0.5861753821372986,3.220660245528741,0.6162651777267456,2.6104124850817243,0.38447660207748413,1.8795477765692452,0.10512840747833252,1.0890088243071794,0.598989725112915,1.1715500502530656
I13,counter_clockwise,7.6,42.95499075395315,3.2251729890755696,0.06463902844194677,3.141935486703735,0.8860882520675659,3.0835377873952847,0.11391174793243408,0.6318308115005493,2.678801535798433,0.7967923283576965,2.5764479576661348,0.9860960841178894,2.8289645941328936,0.3313724994659424,2.837269886303602,0.1948643922805786,2.642107040585188,0.21595260500907898,2.704809192622888,0.22656382620334625,2.7647368915376065,0.11904919147491455,2.7329322863993184,0.46413925290107727,2.744203718382676,0.5882259011268616,3.22444896759124,0.6142581701278687,2.6097220277627002,0.3863712549209595,1.8899119212384627,0.10631322860717773,1.1041341669959472,0.6456311941146851,1.2686006664403426
I13,counter_clockwise,7.8,43.07328164600632,3.227851985986729,0.0647389822053247,3.1440154662893867,0.8859696984291077,3.0834404102993087,0.11403030157089233,0.6355143785476685,2.6788431380820095,0.8011545538902283,2.5764479581606308,0.9864227771759033,2.8293845763492262,0.3320448398590088,2.8373408463075975,0.19862008094787598,2.6421434331607543,0.21736638247966766,2.7062843052057457,0.22746025025844574,2.7655098772588005,0.11953842639923096,2.733057322483546,0.464021772146225,2.7438671989151193,0.5903052091598511,3.2282631196273037,0.6143742799758911,2.609762207069025,0.3896576166152954,1.907805314192548,0.10822081565856934,1.1285928551461086,0.690184473991394,1.3595263372605824
I13,counter_clockwise,8.0,43.144722465435635,3.2294600848747743,0.06479937287899401,3.1452622841999136,0.8844620585441589,3.082198612843568,0.11553794145584106,0.6397655010223389,2.6788885917056966,0.8051617741584778,2.576447958568532,0.9866572022438049,2.8296852972132385,0.33265745639801025,2.837404731636525,0.20011937618255615,2.6421562198113406,0.2187427431344986,2.707678931268594,0.22877614200115204,2.7666151098473906,0.11997133493423462,2.7331653032119902,0.4643477499485016,2.7447996217179553,0.59052574634552,3.2286660271691474,0.612392783164978,2.6090725337026015,0.3927833139896393,1.924722944536308,0.10737085342407227,1.1176794359422164,0.7117379307746887,1.4027106684193664
I13,counter_clockwise,8.2,43.24503264079981,3.2317055592771355,0.0648841816219486,3.147000764112025,0.8833765387535095,3.0813005207416015,0.11662346124649048,0.6438482403755188,2.6789298028596695,0.8077280521392822,2.5764479588085374,0.9868512153625488,2.829933770217489,0.3326910734176636,2.83740821619881,0.20218586921691895,2.6421723968051083,0.21825705468654633,2.7071913924989297,0.2288321703672409,2.7666614045085476,0.12036073207855225,2.733260346125462,0.46496978402137756,2.7465673852889365,0.5910309553146362,3.229587835974705,0.6157408952713013,2.610232948783505,0.3961743712425232,1.9429623256592559,0.10985720157623291,1.1496672313703842,0.6598002910614014,1.297735827914761
I13,counter_clockwise,8.4,43.35257518706282,3.2340968555313827,0.06497513463780645,3.1488491177378433,0.8841886520385742,3.081972727872512,0.11581134796142578,0.6485081911087036,2.678974085982607,0.8107339143753052,2.5764479590702454,0.9870436787605286,2.8301798944739622,0.33368659019470215,2.8375104206779724,0.20622700452804565,2.6421997369186556,0.21780255436897278,2.706730635179022,0.22880122065544128,2.766635839269532,0.12127703428268433,2.7334764391234785,0.4651767909526825,2.747152349492542,0.5914471745491028,3.230346044617793,0.6247457265853882,2.6132368775977284,0.3994622826576233,1.9605301136747835,0.11059927940368652,1.1592491595037027,0.6472369432449341,1.2719117531060076
I13,counter_clockwise,8.6,43.525690669890764,3.2379115377681336,0.06512159870663035,3.151790931041504,0.8869009613990784,3.0842042623396155,0.11309903860092163,0.6541389226913452,2.6790239272267398,0.8145472407341003,2.576447959374449,0.987246572971344,2.830438965709811,0.3357768654823303,2.83771893255539,0.20654261112213135,2.6422016564694104,0.21875305473804474,2.707689228343726,0.22955778241157532,2.7672554100859257,0.12238878011703491,2.733724976475969,0.465298056602478,2.7474942546264813,0.5926922559738159,3.232607544705292,0.630020260810852,2.6149200040692904,0.40384194254875183,1.9837475931157595,0.11169838905334473,1.1734667414861386,0.6386509537696838,1.2541811814295007
I13,counter_clockwise,8.8,43.68925965148479,3.2414768929007645,0.0652600560106659,3.1545330595327905,0.8898205161094666,3.0865832196385155,0.11017948389053345,0.6589061617851257,2.6790631980744353,0.8178123831748962,2.576447959612249,0.9874250888824463,2.8306665764606884,0.33607518672943115,2.837748032810623,0.20688515901565552,2.642203707124736,0.22026699781417847,2.7091770918030895,0.230581596493721,2.768076258597154,0.12285757064819336,2.7338254855462765,0.46520373225212097,2.74722835882868,0.5943818092346191,3.23566057098898,0.630570650100708,2.615092481856209,0.40512996912002563,1.9905348943387684,0.11216503381729126,1.1795115214222907,0.6775420904159546,1.333937936379876
I13,counter_clockwise,9.0,43.83982640512814,3.244725692337016,0.06538757429307811,3.1570255343514684,0.8911561369895935,3.0876636099751558,0.1088438630104065,0.6624565720558167,2.6790908100181285,0.8211296796798706,2.5764479598342556,0.9875485897064209,2.830823860192856,0.3364795446395874,2.8377872186456443,0.20458120107650757,2.642189240207813,0.2201511412858963,2.709064895682706,0.2305910885334015,2.7680837755926486,0.12336039543151855,2.7339305637797224,0.4651563763618469,2.7470947352370825,0.5932745933532715,3.233661878659994,0.6315243244171143,2.6153899474056743,0.406585693359375,1.9981831991958934,0.11528962850570679,1.2200931340454093,0.6942455172538757,1.3677066687367088
I13,counter_clockwise,9.2,44.027730930649746,3.248736012053997,0.06554679473775837,3.160093787185453,0.8906915783882141,3.0872883879602737,0.10930842161178589,0.6651355028152466,2.6791107660960165,0.8245820999145508,2.576447960046062,0.9876455068588257,2.830947184380104,0.33562642335891724,2.8377041958037807,0.20332515239715576,2.642180650437922,0.21992577612400055,2.7088458668657327,0.23060910403728485,2.7680980378679267,0.12364542484283447,2.733988901641169,0.46471214294433594,2.7458370182406897,0.5939159989356995,3.2348206610866903,0.6368982791900635,2.617033646533855,0.4109629988670349,2.021034066916148,0.11543011665344238,1.2219213462646008,0.7456029057502747,1.4693137176636846
I13,counter_clockwise,9.4,44.18729044834432,3.2521033024340715,0.06568206871055368,3.1626627762483666,0.8897556662559509,3.0865306360720126,0.11024433374404907,0.6681911945343018,2.6791326451504833,0.8284552097320557,2.576447960262348,0.9877827763557434,2.8311216992383668,0.33595383167266846,2.837736214584993,0.20324712991714478,2.6421800995282183,0.21899451315402985,2.7079297101808284,0.2298746556043625,2.767511607705072,0.12399756908416748,2.7340597750526285,0.46504104137420654,2.7467689329161034,0.5931646823883057,3.233463047806815,0.6406446695327759,2.6181475292462437,0.4121113717556,2.026991779667001,0.11717963218688965,1.2447065461046627,0.8581019639968872,1.6772355453732333
I13,counter_clockwise,9.6,44.33247428195596,3.2551371216169214,0.06580522149963404,3.1649717454626543,0.8881819248199463,3.0852509717298515,0.11181807518005371,0.6709545850753784,2.6791516515460945,0.832019567489624,2.5764479604432386,0.9879157543182373,2.831290583345798,0.33776015043258667,2.8379093856888176,0.20504498481750488,2.6421922828268407,0.2188502997159958,2.7077862267110473,0.22953444719314575,2.767236466583612,0.12483358383178711,2.734222852030598,0.4657955467700958,2.7488909815354603,0.5933041572570801,3.233715347164811,0.6434611082077026,2.6189680276063427,0.41694775223731995,2.051909769741104,0.11919128894805908,1.2709340483046125,0.8400706648826599,1.6454503568916365
I13,counter_clockwise,9.8,44.4682369528739,3.257948358896562,0.06592043147626168,3.167106346942458,0.8867460489273071,3.0840773672105826,0.11325395107269287,0.6727748513221741,2.6791637806212547,0.8351818919181824,2.5764479605904276,0.9880563020706177,2.8314688943900728,0.3391985297203064,2.8380431644170585,0.20939713716506958,2.642217754486751,0.22013387084007263,2.7090481474807597,0.22990304231643677,2.767534464619266,0.1256757378578186,2.734380012609563,0.46599864959716797,2.749458468495286,0.5930920839309692,3.233331673784864,0.6471614837646484,2.6200244667302286,0.41694098711013794,2.0518751119349803,0.11928439140319824,1.2721482807089215,0.8309713006019592,1.6291735419122975
I13,counter_clockwise,10.0,44.587664261324555,3.260400958447044,0.06602181741710014,3.168964674139651,0.886258602142334,3.0836776395414693,0.11374139785766602,0.6748180389404297,2.679177036684072,0.8390520811080933,2.5764479607550204,0.988286018371582,2.831759919503815,0.33995163440704346,2.8381117876672306,0.21384501457214355,2.642238817063003,0.22026242315769196,2.7091726668572487,0.2301035076379776,2.767695439533835,0.12598198652267456,2.7344354544698035,0.46586817502975464,2.7490940928616148,0.5943081378936768,3.235527824614035,0.6569328904151917,2.622700285623523,0.41839197278022766,2.059295712343657,0.11970537900924683,1.27763893015581,0.7984914183616638,1.5698268853449502
