reference,direction,shift_px,ssim,ssim_distance_d,predicted_jod
I01,down,54,0.14892738744801343,0.8510726125519865,3.052997573323011
I01,down,55,0.15095036454352107,0.8490496354564789,3.0511188996923115
I01,down,56,0.1440672442343263,0.8559327557656737,3.057458604640936
I01,down,57,0.1400325446579493,0.8599674553420507,3.061106367338491
I01,down,58,0.1420107772625717,0.8579892227374283,3.059324110301615
I01,down,59,0.14541087503500583,0.8545891249649942,3.0562326743013726
I01,down,60,0.1560586708253903,0.8439413291746097,3.046317176450291
I01,down,61,0.15070122364711783,0.8492987763528822,3.0513509661788687
I01,down,62,0.15686930943694288,0.8431306905630571,3.0455475134111696
I01,down,63,0.1584715608117237,0.8415284391882762,3.044020018332386
I01,down,64,0.14143673781092514,0.8585632621890749,3.059842518637466
I01,down,65,0.1266971474682359,0.8733028525317641,3.072812138469253
I01,down,66,0.12801397169891726,0.8719860283010827,3.0716797981621635
I01,down,67,0.13378593771245595,0.866214062287544,3.0666559492745966
I01,down,68,0.13179659958605808,0.868203400413942,3.068398635082997
I01,down,69,0.13180389893682612,0.8681961010631739,3.0683922623576327
I01,down,70,0.13385648306813336,0.8661435169318666,3.06659393321514
I01,down,71,0.13396379369783026,0.8660362063021697,3.066499568371426
I01,down,72,0.12841677850387076,0.8715832214961292,3.0713324048115567
I01,down,73,0.13300155198314073,0.8669984480168593,3.067344494130136
I01,down,74,0.13867072453611487,0.8613292754638852,3.0623263190310768
I01,down,75,0.1426836587734416,0.8573163412265584,3.058715148049025
I01,down,76,0.13830865145196666,0.8616913485480333,3.0626497217487794
I01,down,77,0.12680321043545667,0.8731967895645434,3.0727211232300053
I01,down,78,0.12741367823872563,0.8725863217612744,3.072196623926434
I01,down,79,0.1312119863464657,0.8687880136535343,3.068908518607384
I01,down,80,0.13399101611703573,0.8660089838829643,3.0664756245290166
I01,down,81,0.130774051409168,0.869225948590832,3.0692898073133827
I01,down,82,0.1291784844795649,0.8708215155204351,3.0706741773907673
